Date,Opponent,Match Type,Server,In,Ace,Error (net or wide),Error (long),Any Error,Speed (#),Serve Number,Serve Location,Serve Desination,Seam,Serve Rating (1-3),Point Score?,Expected SO %,Expected PS%,Opp. Pass Rating
1/6/2024,Saint Francis,Scrimmage,Reese,1,0,0,0,0,48,1,1,6,0,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Tyler G,0,0,0,1,1,56,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Luke,1,0,0,0,0,47,1,1,5,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,37,1,1,5,0,3,1,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,38,2,1,6,1,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Juan,1,0,0,0,0,53,1,1,6,1,3,1,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Juan,1,0,0,0,0,50,2,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Nate,1,0,0,0,0,43,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Reese,0,0,1,0,1,46,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Tyler G,1,0,0,0,0,49,1,1,6,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Luke,0,0,0,1,1,52,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,36,1,1,6,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Juan,1,0,0,0,0,50,1,1,5,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Nate,0,0,0,1,1,48,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Reese,1,0,0,0,0,48,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Tyler G,1,0,0,0,0,57,1,1,6,1,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Luke,1,0,0,0,0,50,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,37,1,1,6,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,38,2,1,5,1,3,0,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,36,1,1,5,1,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Juan,1,0,0,0,0,49,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Tyler G,1,0,0,0,0,54,1,1,6,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Luke,0,0,0,1,1,52,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,38,1,1,6,0,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Juan,1,0,0,0,0,51,1,1,1,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Juan,1,1,0,0,0,52,2,1,6,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Juan,0,0,1,0,1,52,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Chris,1,0,0,0,0,46,1,1,1,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Chris,1,0,0,0,0,45,2,1,1,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Chris,1,0,0,0,0,48,3,1,6,1,2,0,0.65,0.35,2
